S.No,CHK_ACCT,Duration,History,Purpose of credit,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,S.No.,Co-applicant,Present Resident,Real Estate,Age,Other installment,Residence,Num_Credits,Job,No. dependents,Phone,Foreign,Credit classification
1,0DM,6, critical, radio-tv,1169, unknown, over-seven,4, single-male,1, none,4, real-estate,67, none, own,2, skilled,1, no, yes, good.
2,less-200DM,48, duly-till-now, radio-tv,5951, less100DM, four-years,2, female-divorced,2, none,2, real-estate,22, none, own,1, skilled,1, yes, yes, bad.
3,no-account,12, critical, education,2096, less100DM, seven-years,2, single-male,3, none,3, real-estate,49, none, own,1, unskilled-resident,2, yes, yes, good.
4,0DM,42, duly-till-now, furniture,7882, less100DM, seven-years,2, single-male,4, guarantor,4, building-society,45, none, free,1, skilled,2, yes, yes, good.
5,0DM,24, delay, new-car,4870, less100DM, four-years,3, single-male,5, none,4, none,53, none, free,2, skilled,2, yes, yes, bad.
6,no-account,36, duly-till-now, education,9055, unknown, four-years,2, single-male,6, none,4, none,35, none, free,1, unskilled-resident,2, no, yes, good.
7,no-account,24, duly-till-now, furniture,2835, less1000DM, over-seven,3, single-male,7, none,4, building-society,53, none, own,1, skilled,1, yes, yes, good.
8,less-200DM,36, duly-till-now, used-car,6948, less100DM, four-years,2, single-male,8, none,2, car,35, none, rent,1, management,1, no, yes, good.
9,no-account,12, duly-till-now, radio-tv,3059, over1000DM, seven-years,2, male-divorced,9, none,4, real-estate,61, none, own,1, unskilled-resident,1, yes, yes, good.
10,less-200DM,30, critical, new-car,5234, less100DM, unemployed,4, married-male,10, none,2, car,28, none, own,2, management,1, yes, yes, bad.
11,less-200DM,12, duly-till-now, new-car,1295, less100DM, one-year,3, female-divorced,11, none,1, car,25, none, rent,1, skilled,1, yes, yes, bad.
12,0DM,48, duly-till-now, business,4308, less100DM, one-year,3, female-divorced,12, none,4, building-society,24, none, rent,1, skilled,1, yes, yes, bad.
13,less-200DM,12, duly-till-now, radio-tv,1567, less100DM, four-years,1, female-divorced,13, none,1, car,22, none, own,1, skilled,1, no, yes, good.
14,0DM,24, critical, new-car,1199, less100DM, over-seven,4, single-male,14, none,4, car,60, none, own,2, unskilled-resident,1, yes, yes, bad.
15,0DM,15, duly-till-now, new-car,1403, less100DM, four-years,2, female-divorced,15, none,4, car,28, none, rent,1, skilled,1, yes, yes, good.
16,0DM,24, duly-till-now, radio-tv,1282, less500DM, four-years,4, female-divorced,16, none,2, car,32, none, own,1, unskilled-resident,1, yes, yes, bad.
17,no-account,24, critical, radio-tv,2424, unknown, over-seven,4, single-male,17, none,4, building-society,53, none, own,2, skilled,1, yes, yes, good.
18,0DM,30, all-paid-duly, business,8072, unknown, one-year,2, single-male,18, none,3, car,25, bank, own,3, skilled,1, yes, yes, good.
19,less-200DM,24, duly-till-now, used-car,12579, less100DM, over-seven,4, female-divorced,19, none,2, none,44, none, free,1, management,1, no, yes, bad.
20,no-account,24, duly-till-now, radio-tv,3430, less1000DM, over-seven,3, single-male,20, none,2, car,31, none, own,1, skilled,2, no, yes, good.
21,no-account,9, critical, new-car,2134, less100DM, four-years,4, single-male,21, none,4, car,48, none, own,3, skilled,1, no, yes, good.
22,0DM,6, duly-till-now, radio-tv,2647, less1000DM, four-years,2, single-male,22, none,3, real-estate,44, none, rent,1, skilled,2, yes, yes, good.
23,0DM,10, critical, new-car,2241, less100DM, one-year,1, single-male,23, none,3, real-estate,48, none, rent,2, unskilled-resident,2, yes, no, good.
24,less-200DM,12, critical, used-car,1804, less500DM, one-year,3, single-male,24, none,4, building-society,44, none, own,1, skilled,1, yes, yes, good.
25,no-account,10, critical, furniture,2069, unknown, four-years,2, married-male,25, none,1, car,26, none, own,2, skilled,1, yes, no, good.
26,0DM,6, duly-till-now, furniture,1374, less100DM, four-years,1, single-male,26, none,2, real-estate,36, bank, own,1, unskilled-resident,1, no, yes, good.
27,no-account,6, all-paid-duly, radio-tv,426, less100DM, over-seven,4, married-male,27, none,4, car,39, none, own,1, unskilled-resident,1, yes, yes, good.
28,over-200DM,12, bank-paid-duly, radio-tv,409, over1000DM, four-years,3, female-divorced,28, none,3, real-estate,42, none, rent,2, skilled,1, yes, yes, good.
29,less-200DM,7, duly-till-now, radio-tv,2415, less100DM, four-years,3, single-male,29, guarantor,2, real-estate,34, none, own,1, skilled,1, yes, yes, good.
30,0DM,60, delay, business,6836, less100DM, over-seven,3, single-male,30, none,4, none,63, none, own,2, skilled,1, no, yes, bad.
31,less-200DM,18, duly-till-now, business,1913, over1000DM, one-year,3, married-male,31, none,3, real-estate,36, bank, own,1, skilled,1, no, yes, good.
32,0DM,24, duly-till-now, furniture,4020, less100DM, four-years,2, single-male,32, none,2, car,27, stores, own,1, skilled,1, yes, yes, good.
33,less-200DM,18, duly-till-now, new-car,5866, less500DM, four-years,2, single-male,33, none,2, car,30, none, own,2, skilled,1, no, yes, good.
34,no-account,12, critical, business,1264, unknown, over-seven,4, single-male,34, none,4, none,57, none, rent,1, unskilled-resident,1, yes, yes, good.
35,over-200DM,12, duly-till-now, furniture,1474, less100DM, one-year,4, female-divorced,35, none,1, building-society,33, bank, own,1, management,1, no, yes, good.
36,less-200DM,45, critical, radio-tv,4746, less100DM, one-year,4, single-male,36, none,2, building-society,25, none, own,2, unskilled-resident,1, yes, yes, bad.
37,no-account,48, critical, education,6110, less100DM, four-years,1, single-male,37, none,3, none,31, bank, free,1, skilled,1, no, yes, good.
38,over-200DM,18, duly-till-now, radio-tv,2100, less100DM, four-years,4, single-male,38, co-applicant,2, real-estate,37, stores, own,1, skilled,1, yes, yes, bad.
39,over-200DM,10, duly-till-now, domestic-app,1225, less100DM, four-years,2, single-male,39, none,2, car,37, none, own,1, skilled,1, no, yes, good.
40,less-200DM,9, duly-till-now, radio-tv,458, less100DM, four-years,4, single-male,40, none,3, real-estate,24, none, own,1, skilled,1, yes, yes, good.
41,no-account,30, duly-till-now, radio-tv,2333, less1000DM, over-seven,4, single-male,41, none,2, car,30, bank, own,1, management,1, yes, yes, good.
42,less-200DM,12, duly-till-now, radio-tv,1158, less1000DM, four-years,3, male-divorced,42, none,1, car,26, none, own,1, skilled,1, no, yes, good.
43,less-200DM,18, delay, repairs,6204, less100DM, four-years,2, single-male,43, none,4, real-estate,44, none, own,1, unskilled-resident,2, no, yes, good.
44,0DM,30, critical, used-car,6187, less500DM, seven-years,1, married-male,44, none,4, car,24, none, rent,2, skilled,1, yes, yes, good.
45,0DM,48, critical, used-car,6143, less100DM, over-seven,4, female-divorced,45, none,4, none,58, stores, free,2, unskilled-resident,1, yes, yes, bad.
46,no-account,11, critical, new-car,1393, less100DM, one-year,4, female-divorced,46, none,4, car,35, none, own,2, management,1, yes, yes, good.
47,no-account,36, duly-till-now, radio-tv,2299, less1000DM, over-seven,4, single-male,47, none,4, car,39, none, own,1, skilled,1, yes, yes, good.
48,0DM,6, duly-till-now, used-car,1352, less1000DM, unemployed,1, female-divorced,48, none,2, building-society,23, none, rent,1, unemployed-non-resident,1, no, yes, good.
49,no-account,11, critical, new-car,7228, less100DM, four-years,1, single-male,49, none,4, building-society,39, none, own,2, unskilled-resident,1, yes, yes, good.
50,no-account,12, duly-till-now, radio-tv,2073, less500DM, four-years,4, female-divorced,50, co-applicant,2, real-estate,28, none, own,1, skilled,1, yes, yes, good.
51,less-200DM,24, delay, furniture,2333, unknown, one-year,4, single-male,51, none,2, building-society,29, bank, own,1, unskilled-resident,1, yes, yes, good.
52,less-200DM,27, delay, used-car,5965, less100DM, over-seven,1, single-male,52, none,2, car,30, none, own,2, management,1, no, yes, good.
53,no-account,12, duly-till-now, radio-tv,1262, less100DM, four-years,3, single-male,53, none,2, car,25, none, own,1, skilled,1, yes, yes, good.
54,no-account,18, duly-till-now, used-car,3378, unknown, four-years,2, single-male,54, none,1, building-society,31, none, own,1, skilled,1, no, yes, good.
55,less-200DM,36, delay, new-car,2225, less100DM, over-seven,4, single-male,55, none,4, none,57, bank, free,2, skilled,1, no, yes, bad.
56,no-account,6, bank-paid-duly, new-car,783, unknown, four-years,1, single-male,56, guarantor,2, real-estate,26, stores, own,1, unskilled-resident,2, yes, yes, good.
57,less-200DM,12, duly-till-now, radio-tv,6468, unknown, unemployed,2, single-male,57, none,1, none,52, none, own,1, management,1, no, yes, bad.
58,no-account,36, critical, radio-tv,9566, less100DM, four-years,2, female-divorced,58, none,2, car,31, stores, own,2, skilled,1, yes, yes, good.
59,over-200DM,18, duly-till-now, new-car,1961, less100DM, over-seven,3, female-divorced,59, none,2, car,23, none, own,1, management,1, yes, yes, good.
60,0DM,36, critical, furniture,6229, less100DM, one-year,4, female-divorced,60, co-applicant,4, none,23, none, rent,2, unskilled-resident,1, no, yes, bad.
61,less-200DM,9, duly-till-now, business,1391, less100DM, four-years,2, married-male,61, none,1, real-estate,27, bank, own,1, skilled,1, no, yes, good.
62,less-200DM,15, critical, radio-tv,1537, unknown, over-seven,4, single-male,62, guarantor,4, real-estate,50, none, own,2, skilled,1, no, yes, good.
63,less-200DM,36, all-paid-duly, business,1953, less100DM, over-seven,4, single-male,63, none,4, none,61, none, free,1, management,1, no, yes, bad.
64,less-200DM,48, all-paid-duly, business,14421, less100DM, four-years,2, single-male,64, none,2, car,25, none, own,1, skilled,1, no, yes, bad.
65,no-account,24, duly-till-now, radio-tv,3181, less100DM, one-year,4, female-divorced,65, none,4, building-society,26, none, own,1, skilled,1, no, yes, good.
66,no-account,27, duly-till-now, repairs,5190, unknown, over-seven,4, single-male,66, none,4, building-society,48, none, own,4, skilled,2, no, yes, good.
67,no-account,12, duly-till-now, radio-tv,2171, less100DM, one-year,2, female-divorced,67, none,2, car,29, bank, own,1, skilled,1, yes, yes, good.
68,less-200DM,12, duly-till-now, new-car,1007, over1000DM, four-years,4, married-male,68, none,1, real-estate,22, none, own,1, skilled,1, yes, yes, good.
69,no-account,36, duly-till-now, education,1819, less100DM, four-years,4, single-male,69, none,4, none,37, stores, free,1, skilled,1, no, yes, bad.
70,no-account,36, duly-till-now, radio-tv,2394, unknown, four-years,4, female-divorced,70, none,4, car,25, none, own,1, skilled,1, yes, yes, good.
71,no-account,36, duly-till-now, used-car,8133, less100DM, four-years,1, female-divorced,71, none,2, building-society,30, bank, own,1, skilled,1, yes, yes, good.
72,no-account,7, critical, radio-tv,730, unknown, over-seven,4, single-male,72, none,2, building-society,46, none, rent,2, unskilled-resident,1, no, yes, good.
73,0DM,8, critical, others,1164, less100DM, over-seven,3, single-male,73, none,4, none,51, bank, free,2, management,2, no, yes, good.
74,less-200DM,42, critical, business,5954, less100DM, seven-years,2, female-divorced,74, none,1, real-estate,41, bank, own,2, unskilled-resident,1, yes, yes, good.
75,0DM,36, duly-till-now, education,1977, unknown, over-seven,4, single-male,75, none,4, none,40, none, own,1, management,1, no, yes, bad.
76,0DM,12, critical, used-car,1526, less100DM, over-seven,4, single-male,76, none,4, none,66, none, free,2, management,1, yes, yes, good.
77,0DM,42, duly-till-now, radio-tv,3965, less100DM, one-year,4, single-male,77, none,3, car,34, none, own,1, skilled,1, yes, yes, bad.
78,less-200DM,11, delay, radio-tv,4771, less100DM, seven-years,2, single-male,78, none,4, building-society,51, none, own,1, skilled,1, yes, yes, good.
79,no-account,54, all-paid-duly, used-car,9436, unknown, four-years,2, single-male,79, none,2, building-society,39, none, own,1, unskilled-resident,2, yes, yes, good.
80,less-200DM,30, duly-till-now, furniture,3832, less100DM, one-year,2, married-male,80, none,1, building-society,22, none, own,1, skilled,1, yes, yes, good.
81,no-account,24, duly-till-now, radio-tv,5943, unknown, one-year,1, female-divorced,81, none,1, car,44, none, own,2, skilled,1, no, yes, bad.
82,no-account,15, duly-till-now, radio-tv,1213, less1000DM, over-seven,4, single-male,82, none,3, building-society,47, stores, own,1, skilled,1, no, yes, good.
83,no-account,18, duly-till-now, business,1568, less500DM, four-years,3, female-divorced,83, none,4, building-society,24, none, rent,1, unskilled-resident,1, yes, yes, good.
84,0DM,24, duly-till-now, others,1755, less100DM, over-seven,4, female-divorced,84, guarantor,4, real-estate,58, none, own,1, unskilled-resident,1, no, yes, good.
85,0DM,10, duly-till-now, radio-tv,2315, less100DM, over-seven,3, single-male,85, none,4, real-estate,52, none, own,1, unskilled-resident,1, yes, yes, good.
86,no-account,12, critical, business,1412, less100DM, four-years,4, female-divorced,86, guarantor,2, real-estate,29, none, own,2, management,1, no, yes, good.
87,less-200DM,18, critical, furniture,1295, less100DM, one-year,4, female-divorced,87, none,1, building-society,27, none, own,2, skilled,1, yes, yes, good.
88,less-200DM,36, duly-till-now, education,12612, less500DM, four-years,1, single-male,88, none,4, none,47, none, free,1, skilled,2, no, yes, bad.
89,0DM,18, duly-till-now, new-car,2249, less500DM, seven-years,4, single-male,89, none,3, car,30, none, own,1, management,2, no, yes, good.
90,0DM,12, all-paid-duly, repairs,1108, less100DM, seven-years,4, single-male,90, none,3, real-estate,28, none, own,2, skilled,1, yes, yes, bad.
91,no-account,12, critical, radio-tv,618, less100DM, over-seven,4, single-male,91, none,4, real-estate,56, none, own,1, skilled,1, yes, yes, good.
92,0DM,12, critical, used-car,1409, less100DM, over-seven,4, single-male,92, none,3, real-estate,54, none, own,1, skilled,1, yes, yes, good.
93,no-account,12, critical, radio-tv,797, unknown, over-seven,4, female-divorced,93, none,3, building-society,33, bank, own,1, unskilled-resident,2, yes, yes, bad.
94,over-200DM,24, critical, furniture,3617, unknown, over-seven,4, single-male,94, co-applicant,4, none,20, none, rent,2, skilled,1, yes, yes, good.
95,less-200DM,12, duly-till-now, new-car,1318, over1000DM, over-seven,4, single-male,95, none,4, real-estate,54, none, own,1, skilled,1, no, yes, good.
